epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4982,1.15932,1.09981,1.02329,0.37654,0.4798,0.35626,0.23365,1.04106,0.97576,0.99343,0.000550272,0.000550272,0.000550272
2,59.9659,1.15285,0.77465,1.0196,0.93515,0.39269,0.42218,0.27788,1.08631,0.9567,1.01275,0.00110229,0.00110229,0.00110229
3,80.9214,1.14875,0.73761,1.01099,0.81465,0.41674,0.47713,0.33643,1.04249,0.79704,0.98994,0.00165064,0.00165064,0.00165064
4,101.755,1.12255,0.71871,0.99995,0.49756,0.45554,0.47092,0.31704,1.05888,0.82436,0.98518,0.0016505,0.0016505,0.0016505
5,122.144,1.09911,0.68114,0.99359,0.65816,0.48968,0.52637,0.3808,1.00102,0.66785,0.96748,0.001645,0.001645,0.001645
6,142.832,1.07791,0.65891,0.98334,0.78378,0.50583,0.55801,0.40088,0.98371,0.77866,0.96273,0.00163949,0.00163949,0.00163949
7,163.596,1.04859,0.63973,0.97694,0.75402,0.51932,0.52652,0.37378,0.95452,0.71772,0.95376,0.00163399,0.00163399,0.00163399
8,183.969,1.03863,0.63338,0.97295,0.5865,0.62928,0.61942,0.45427,0.94085,0.61405,0.94981,0.00162849,0.00162849,0.00162849
9,204.7,1.03622,0.61956,0.97397,0.70886,0.65908,0.69787,0.51038,0.9456,0.60297,0.95271,0.00162299,0.00162299,0.00162299
10,225.488,1.01022,0.59656,0.96121,0.73751,0.55664,0.6322,0.46677,0.90608,0.58889,0.94406,0.00161749,0.00161749,0.00161749
11,245.836,0.99999,0.59554,0.95811,0.78381,0.61485,0.6691,0.46955,0.91915,0.57848,0.9499,0.00161199,0.00161199,0.00161199
12,266.195,0.98615,0.58669,0.95234,0.76434,0.68396,0.7118,0.52377,0.88154,0.54597,0.93411,0.00160649,0.00160649,0.00160649
13,286.796,0.98239,0.57403,0.95398,0.93493,0.64867,0.75135,0.55005,0.89331,0.55914,0.93346,0.00160099,0.00160099,0.00160099
14,307.586,0.98231,0.57341,0.95253,0.78242,0.60609,0.65722,0.50407,0.88178,0.56031,0.93865,0.00159549,0.00159549,0.00159549
15,327.971,0.96473,0.56556,0.94813,0.77726,0.76044,0.79163,0.59158,0.87201,0.53225,0.93053,0.00158998,0.00158998,0.00158998
16,348.687,0.94952,0.56095,0.94198,0.8644,0.67487,0.73748,0.56481,0.86645,0.5418,0.93389,0.00158448,0.00158448,0.00158448
17,368.989,0.94701,0.55439,0.94356,0.82616,0.6959,0.75899,0.54386,0.86828,0.5484,0.92825,0.00157898,0.00157898,0.00157898
18,389.319,0.95159,0.56351,0.94306,0.77028,0.71305,0.77344,0.53234,0.86315,0.52829,0.92604,0.00157348,0.00157348,0.00157348
19,409.662,0.93287,0.53452,0.93254,0.88796,0.66768,0.80081,0.61248,0.8441,0.52284,0.92269,0.00156798,0.00156798,0.00156798
20,430.395,0.93782,0.54578,0.9358,0.77145,0.73073,0.7588,0.57261,0.86544,0.5316,0.92832,0.00156248,0.00156248,0.00156248
21,450.764,0.93058,0.54188,0.93896,0.93965,0.7154,0.83084,0.64907,0.85667,0.51856,0.92416,0.00155698,0.00155698,0.00155698
22,471.42,0.92303,0.52925,0.93448,0.95424,0.74126,0.81209,0.62245,0.84772,0.5142,0.92212,0.00155148,0.00155148,0.00155148
23,491.839,0.92482,0.53658,0.93694,0.92977,0.74271,0.8508,0.66179,0.86054,0.50571,0.92325,0.00154598,0.00154598,0.00154598
24,512.457,0.90215,0.52366,0.92542,0.81858,0.7286,0.79282,0.61063,0.84447,0.49716,0.92022,0.00154047,0.00154047,0.00154047
25,532.769,0.90183,0.52407,0.9247,0.95923,0.69471,0.814,0.63209,0.84698,0.50497,0.92285,0.00153497,0.00153497,0.00153497
26,553.198,0.89574,0.51508,0.92581,0.88338,0.73075,0.83499,0.58579,0.8406,0.50699,0.91908,0.00152947,0.00152947,0.00152947
27,573.568,0.89326,0.51901,0.92344,0.94401,0.72194,0.79782,0.60786,0.83758,0.51423,0.92439,0.00152397,0.00152397,0.00152397
28,593.946,0.90779,0.52141,0.93047,0.8616,0.74615,0.81503,0.6171,0.82645,0.50381,0.92009,0.00151847,0.00151847,0.00151847
29,614.27,0.885,0.50648,0.92373,0.94846,0.70455,0.81657,0.64323,0.84137,0.49712,0.92344,0.00151297,0.00151297,0.00151297
30,634.638,0.89005,0.5102,0.92574,0.83109,0.80046,0.82463,0.63657,0.81802,0.50901,0.91483,0.00150747,0.00150747,0.00150747
31,654.986,0.89017,0.51187,0.92239,0.89657,0.67323,0.76678,0.5946,0.83252,0.50112,0.91926,0.00150197,0.00150197,0.00150197
32,675.352,0.88526,0.50947,0.917,0.94594,0.73356,0.84471,0.66682,0.81756,0.49171,0.91422,0.00149647,0.00149647,0.00149647
33,696.192,0.87869,0.50112,0.92182,0.8959,0.72114,0.80952,0.61474,0.81661,0.4892,0.9099,0.00149096,0.00149096,0.00149096
34,716.57,0.8705,0.49324,0.91791,0.86773,0.73017,0.79898,0.63026,0.81517,0.48603,0.91724,0.00148546,0.00148546,0.00148546
35,736.936,0.87051,0.49775,0.91448,0.8718,0.71834,0.80116,0.61797,0.80454,0.48321,0.90932,0.00147996,0.00147996,0.00147996
36,757.297,0.8734,0.49859,0.91736,0.85855,0.76106,0.80629,0.63935,0.80319,0.47456,0.90885,0.00147446,0.00147446,0.00147446
37,777.621,0.87738,0.50591,0.92043,0.83983,0.69543,0.81347,0.62753,0.79812,0.48687,0.91141,0.00146896,0.00146896,0.00146896
38,797.933,0.86463,0.49279,0.91483,0.87279,0.81109,0.83031,0.66119,0.79772,0.47733,0.91061,0.00146346,0.00146346,0.00146346
39,818.296,0.85946,0.48463,0.91388,0.94772,0.75916,0.83761,0.66956,0.80107,0.48232,0.90907,0.00145796,0.00145796,0.00145796
40,838.996,0.86277,0.49246,0.91784,0.92498,0.7379,0.82694,0.6561,0.79455,0.47431,0.90534,0.00145246,0.00145246,0.00145246
41,859.327,0.86236,0.50271,0.91804,0.93326,0.71358,0.83709,0.66053,0.79672,0.47777,0.91165,0.00144696,0.00144696,0.00144696
42,879.681,0.84572,0.47738,0.90913,0.7361,0.73605,0.79803,0.62867,0.80195,0.47336,0.90917,0.00144145,0.00144145,0.00144145
43,900.022,0.85181,0.48115,0.91016,0.91932,0.76771,0.83584,0.64655,0.79545,0.4722,0.90321,0.00143595,0.00143595,0.00143595
44,920.468,0.84476,0.48213,0.91023,0.92046,0.74263,0.83053,0.67627,0.78907,0.46316,0.90408,0.00143045,0.00143045,0.00143045
45,941.137,0.84013,0.47997,0.91151,0.82521,0.73597,0.82449,0.65508,0.78925,0.46819,0.90768,0.00142495,0.00142495,0.00142495
46,961.48,0.83763,0.47594,0.90917,0.8771,0.77561,0.82961,0.64717,0.78621,0.46556,0.90844,0.00141945,0.00141945,0.00141945
47,981.858,0.83725,0.47891,0.90793,0.91499,0.75085,0.83057,0.66518,0.77623,0.46374,0.90121,0.00141395,0.00141395,0.00141395
48,1002.23,0.84521,0.47361,0.90716,0.86391,0.78098,0.83752,0.66533,0.78237,0.47155,0.90657,0.00140845,0.00140845,0.00140845
49,1022.57,0.83199,0.47299,0.90444,0.85305,0.76752,0.83498,0.65586,0.78954,0.46796,0.90997,0.00140295,0.00140295,0.00140295
50,1042.94,0.8312,0.46866,0.90528,0.86838,0.81165,0.86174,0.68481,0.77511,0.45447,0.90094,0.00139745,0.00139745,0.00139745
51,1063.62,0.82717,0.46662,0.90307,0.87546,0.76617,0.81796,0.66371,0.78766,0.46245,0.90094,0.00139195,0.00139195,0.00139195
52,1083.94,0.82458,0.47756,0.90223,0.96004,0.74912,0.82873,0.6535,0.77583,0.46301,0.90284,0.00138644,0.00138644,0.00138644
53,1104.41,0.82989,0.4631,0.90303,0.91985,0.71393,0.79922,0.65194,0.77135,0.46519,0.90286,0.00138094,0.00138094,0.00138094
54,1124.76,0.82425,0.46664,0.90081,0.91747,0.70993,0.82798,0.67198,0.77103,0.45516,0.90121,0.00137544,0.00137544,0.00137544
55,1145.11,0.82655,0.47286,0.90487,0.9632,0.75271,0.84577,0.66701,0.7703,0.45445,0.89939,0.00136994,0.00136994,0.00136994
56,1165.45,0.82463,0.46051,0.9017,0.9044,0.78959,0.85491,0.67509,0.7723,0.45375,0.9037,0.00136444,0.00136444,0.00136444
57,1185.75,0.8246,0.46101,0.90299,0.91068,0.79167,0.81584,0.63899,0.78371,0.44677,0.90514,0.00135894,0.00135894,0.00135894
58,1206,0.81926,0.45911,0.89727,0.86317,0.77941,0.8336,0.64982,0.77107,0.45281,0.90174,0.00135344,0.00135344,0.00135344
59,1226.31,0.82115,0.4629,0.89763,0.85717,0.82037,0.83141,0.67517,0.77009,0.4523,0.90521,0.00134794,0.00134794,0.00134794
