epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1119,1.19836,1.26143,1.04314,0.16215,0.34735,0.14658,0.094,1.13144,2.82463,1.05879,0.000547118,0.000547118,0.000547118
2,38.069,1.13303,0.75526,1.01624,0.32735,0.3288,0.31541,0.2002,1.19945,1.22135,1.08967,0.00109915,0.00109915,0.00109915
3,51.6936,1.15567,0.76011,1.02729,0.81928,0.3246,0.33111,0.20873,1.20143,1.70531,1.09169,0.00164751,0.00164751,0.00164751
4,65.1984,1.15189,0.7378,1.01499,0.92205,0.39841,0.42152,0.28552,1.03513,0.94538,1.00784,0.0016505,0.0016505,0.0016505
5,78.6786,1.11263,0.71722,1.01195,0.39589,0.39947,0.41959,0.29172,1.00289,0.92981,0.98263,0.001645,0.001645,0.001645
6,92.0888,1.07993,0.66943,0.99472,0.92095,0.40781,0.43128,0.29968,0.99248,0.70687,0.97971,0.00163949,0.00163949,0.00163949
7,105.631,1.07846,0.65597,0.98667,0.94697,0.39458,0.43234,0.29708,1.05073,0.68236,0.995,0.00163399,0.00163399,0.00163399
8,118.77,1.06888,0.6543,0.99618,0.92408,0.40492,0.43107,0.30457,0.95601,0.64917,0.96944,0.00162849,0.00162849,0.00162849
9,132.198,1.04193,0.63308,0.98173,0.9405,0.41028,0.44332,0.31098,0.98061,0.598,0.97522,0.00162299,0.00162299,0.00162299
10,145.558,1.00947,0.61331,0.9724,0.6394,0.55019,0.6844,0.49632,0.97883,0.57751,0.96482,0.00161749,0.00161749,0.00161749
11,159.183,1.02307,0.62272,0.97809,0.9402,0.40996,0.51314,0.33199,1.00258,0.6053,0.97071,0.00161199,0.00161199,0.00161199
12,172.266,0.98518,0.60125,0.9664,0.93754,0.41772,0.47227,0.34096,0.90264,0.57858,0.95474,0.00160649,0.00160649,0.00160649
13,185.372,0.9621,0.58343,0.95684,0.81607,0.61717,0.70244,0.51488,0.90929,0.58245,0.94452,0.00160099,0.00160099,0.00160099
14,198.835,0.99536,0.59109,0.96694,0.84978,0.66639,0.75784,0.59036,0.9192,0.55573,0.94891,0.00159549,0.00159549,0.00159549
15,212.311,0.97406,0.59361,0.96513,0.88273,0.69481,0.77981,0.58412,0.89849,0.56197,0.95215,0.00158998,0.00158998,0.00158998
16,225.397,0.96726,0.58929,0.96302,0.92451,0.72397,0.78052,0.57369,0.88741,0.59531,0.94202,0.00158448,0.00158448,0.00158448
17,238.499,0.96112,0.58673,0.95582,0.71234,0.73954,0.77024,0.5357,0.86107,0.54546,0.93532,0.00157898,0.00157898,0.00157898
18,251.599,0.93762,0.5543,0.94478,0.84367,0.7343,0.76159,0.52242,0.8718,0.53338,0.94201,0.00157348,0.00157348,0.00157348
19,264.741,0.96276,0.57216,0.95611,0.79048,0.64034,0.74633,0.51425,0.88773,0.54788,0.94453,0.00156798,0.00156798,0.00156798
20,277.987,0.94027,0.56286,0.94542,0.79455,0.75661,0.78556,0.60386,0.8694,0.55676,0.93829,0.00156248,0.00156248,0.00156248
21,291.418,0.92532,0.55032,0.94239,0.79516,0.55852,0.67275,0.46533,0.86616,0.53634,0.93508,0.00155698,0.00155698,0.00155698
22,304.524,0.9196,0.5424,0.93893,0.80823,0.7021,0.77501,0.60653,0.88381,0.53157,0.93777,0.00155148,0.00155148,0.00155148
23,318.005,0.91701,0.54056,0.93877,0.91152,0.834,0.84639,0.63065,0.85651,0.53252,0.92905,0.00154598,0.00154598,0.00154598
24,331.513,0.92366,0.53848,0.93764,0.94826,0.69464,0.78986,0.62935,0.86081,0.50617,0.93215,0.00154047,0.00154047,0.00154047
25,344.599,0.91349,0.54076,0.93893,0.94227,0.73413,0.80826,0.63711,0.85073,0.53423,0.93283,0.00153497,0.00153497,0.00153497
26,358.051,0.91459,0.53608,0.93621,0.81793,0.76839,0.76201,0.58599,0.84211,0.50602,0.92656,0.00152947,0.00152947,0.00152947
27,371.222,0.89955,0.53245,0.9308,0.84648,0.75337,0.8271,0.65397,0.85343,0.53349,0.93678,0.00152397,0.00152397,0.00152397
28,384.677,0.9078,0.52782,0.93629,0.75707,0.70991,0.81381,0.65247,0.82439,0.50292,0.92384,0.00151847,0.00151847,0.00151847
29,397.816,0.89716,0.52216,0.93092,0.79009,0.76954,0.80334,0.62788,0.82651,0.50733,0.92366,0.00151297,0.00151297,0.00151297
30,410.999,0.89054,0.52674,0.92893,0.84672,0.8172,0.82835,0.67351,0.83885,0.5137,0.91998,0.00150747,0.00150747,0.00150747
31,424.423,0.90286,0.52955,0.93201,0.75835,0.80788,0.83575,0.65837,0.84245,0.50048,0.92702,0.00150197,0.00150197,0.00150197
